Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
7/11/2018 16:00:00,46.97,7/11/2018 16:00:00,101.98,7/11/2018 16:00:00,1755,7/11/2018 16:00:00,202.54,7/11/2018 16:00:00,63.79,7/11/2018 16:00:00,1171.46,7/11/2018 16:00:00,1153.9,11/7/2018 15:00:00,4390.3,7/11/2018 16:00:00,126.24,7/11/2018 16:00:00,106.39
7/12/2018 16:00:00,47.76,7/12/2018 16:00:00,104.19,7/12/2018 16:00:00,1796.62,7/12/2018 16:00:00,206.92,7/12/2018 16:00:00,63.34,7/12/2018 16:00:00,1201.26,7/12/2018 16:00:00,1183.48,11/8/2018 15:00:00,4469,7/12/2018 16:00:00,127.76,7/12/2018 16:00:00,106.85
7/13/2018 16:00:00,47.83,7/13/2018 16:00:00,105.43,7/13/2018 16:00:00,1813.03,7/13/2018 16:00:00,207.32,7/13/2018 16:00:00,63.77,7/13/2018 16:00:00,1204.42,7/13/2018 16:00:00,1188.82,11/9/2018 15:00:00,4445,7/13/2018 16:00:00,125.93,7/13/2018 16:00:00,106.36
7/16/2018 16:00:00,47.73,7/16/2018 16:00:00,104.91,7/16/2018 16:00:00,1822.49,7/16/2018 16:00:00,207.23,7/16/2018 16:00:00,62.02,7/16/2018 16:00:00,1196.51,7/16/2018 16:00:00,1183.86,11/12/2018 15:00:00,4390,7/16/2018 16:00:00,124.69,7/16/2018 16:00:00,110.58
7/17/2018 16:00:00,47.86,7/17/2018 16:00:00,105.95,7/17/2018 16:00:00,1843.93,7/17/2018 16:00:00,209.99,7/17/2018 16:00:00,64.54,7/17/2018 16:00:00,1213.08,7/17/2018 16:00:00,1198.8,11/13/2018 15:00:00,4465,7/17/2018 16:00:00,129.11,7/17/2018 16:00:00,110.5
7/18/2018 16:00:00,47.6,7/18/2018 16:00:00,105.12,7/18/2018 16:00:00,1842.92,7/18/2018 16:00:00,209.36,7/18/2018 16:00:00,64.77,7/18/2018 16:00:00,1212.91,7/18/2018 16:00:00,1195.88,11/14/2018 15:00:00,4413,7/18/2018 16:00:00,127.8,7/18/2018 16:00:00,111.53
7/19/2018 16:00:00,47.97,7/19/2018 16:00:00,104.4,7/19/2018 16:00:00,1812.97,7/19/2018 16:00:00,208.09,7/19/2018 16:00:00,64.05,7/19/2018 16:00:00,1199.1,7/19/2018 16:00:00,1186.96,11/15/2018 15:00:00,4490,7/19/2018 16:00:00,125.94,7/19/2018 16:00:00,109.89
7/20/2018 16:00:00,47.86,7/20/2018 16:00:00,106.27,7/20/2018 16:00:00,1813.7,7/20/2018 16:00:00,209.94,7/20/2018 16:00:00,62.72,7/20/2018 16:00:00,1197.88,7/20/2018 16:00:00,1184.91,11/16/2018 15:00:00,4599.98,7/20/2018 16:00:00,125.85,7/20/2018 16:00:00,111.28
7/23/2018 16:00:00,47.86,7/23/2018 16:00:00,107.97,7/23/2018 16:00:00,1802,7/23/2018 16:00:00,210.91,7/23/2018 16:00:00,60.64,7/23/2018 16:00:00,1211,7/23/2018 16:00:00,1205.5,11/20/2018 15:00:00,4295,7/23/2018 16:00:00,126.63,7/23/2018 16:00:00,113.35
7/24/2018 16:00:00,48.25,7/24/2018 16:00:00,107.66,7/24/2018 16:00:00,1829.24,7/24/2018 16:00:00,214.67,7/24/2018 16:00:00,59.49,7/24/2018 16:00:00,1258.15,7/24/2018 16:00:00,1248.08,11/21/2018 15:00:00,4295.9,7/24/2018 16:00:00,129.36,7/24/2018 16:00:00,114.15
7/25/2018 16:00:00,48.71,7/25/2018 16:00:00,110.83,7/25/2018 16:00:00,1863.61,7/25/2018 16:00:00,217.5,7/25/2018 16:00:00,61.75,7/25/2018 16:00:00,1275.94,7/25/2018 16:00:00,1263.7,11/22/2018 15:00:00,4449.98,7/25/2018 16:00:00,128.62,7/25/2018 16:00:00,115.18
7/26/2018 16:00:00,48.55,7/26/2018 16:00:00,109.62,7/26/2018 16:00:00,1808,7/26/2018 16:00:00,176.26,7/26/2018 16:00:00,61.33,7/26/2018 16:00:00,1285.5,7/26/2018 16:00:00,1268.33,11/23/2018 15:00:00,4238,7/26/2018 16:00:00,130.28,7/26/2018 16:00:00,114.85
7/27/2018 16:00:00,47.75,7/27/2018 16:00:00,107.68,7/27/2018 16:00:00,1817.27,7/27/2018 16:00:00,174.89,7/27/2018 16:00:00,59.44,7/27/2018 16:00:00,1252.89,7/27/2018 16:00:00,1238.5,11/26/2018 15:00:00,4340,7/27/2018 16:00:00,131.55,7/27/2018 16:00:00,116.03
7/30/2018 16:00:00,47.48,7/30/2018 16:00:00,105.37,7/30/2018 16:00:00,1779.22,7/30/2018 16:00:00,171.06,7/30/2018 16:00:00,58.03,7/30/2018 16:00:00,1230.04,7/30/2018 16:00:00,1219.74,11/28/2018 15:00:00,4400,7/30/2018 16:00:00,132.17,7/30/2018 16:00:00,116.73
7/31/2018 16:00:00,47.57,7/31/2018 16:00:00,106.08,7/31/2018 16:00:00,1777.44,7/31/2018 16:00:00,172.58,7/31/2018 16:00:00,59.63,7/31/2018 16:00:00,1227.22,7/31/2018 16:00:00,1217.26,11/29/2018 15:00:00,4420,7/31/2018 16:00:00,132.52,7/31/2018 16:00:00,114.95
8/1/2018 16:00:00,50.38,8/1/2018 16:00:00,106.28,8/1/2018 16:00:00,1797.17,8/1/2018 16:00:00,171.65,8/1/2018 16:00:00,60.17,8/1/2018 16:00:00,1232.99,8/1/2018 16:00:00,1220.01,11/30/2018 15:00:00,4442,8/1/2018 16:00:00,132.64,8/1/2018 16:00:00,115.66
8/2/2018 16:00:00,51.85,8/2/2018 16:00:00,107.57,8/2/2018 16:00:00,1834.33,8/2/2018 16:00:00,176.37,8/2/2018 16:00:00,69.91,8/2/2018 16:00:00,1241.13,8/2/2018 16:00:00,1226.15,12/3/2018 15:00:00,4504,8/2/2018 16:00:00,131.25,8/2/2018 16:00:00,116.15
8/3/2018 16:00:00,52,8/3/2018 16:00:00,108.04,8/3/2018 16:00:00,1823.29,8/3/2018 16:00:00,177.78,8/3/2018 16:00:00,69.63,8/3/2018 16:00:00,1238.16,8/3/2018 16:00:00,1223.71,12/4/2018 15:00:00,4350,8/3/2018 16:00:00,131.95,8/3/2018 16:00:00,117.09
8/6/2018 16:00:00,52.27,8/6/2018 16:00:00,108.13,8/6/2018 16:00:00,1847.75,8/6/2018 16:00:00,185.69,8/6/2018 16:00:00,68.4,8/6/2018 16:00:00,1237.67,8/6/2018 16:00:00,1224.77,12/6/2018 15:00:00,4180.8,8/6/2018 16:00:00,132.02,8/6/2018 16:00:00,117.12
